Car_id,Date,Gender,Annul_Income,Company,Model,Transmission,Color,Price,Body_Style,Dealer_Region
C_CND_000042,2022-01-03,Female,13500,Volvo,S80,Manual,Pale White,21000,Sedan,Scottsdale
C_CND_000043,2022-01-03,Male,967500,Chevrolet,Lumina,Manual,Black,42500,Passenger,Austin
C_CND_000044,2022-01-03,Male,600000,Mitsubishi,Montero Sport,Auto,Black,45001,Hatchback,Middletown
C_CND_000045,2022-01-03,Male,575000,Pontiac,Bonneville,Manual,Black,36001,Hatchback,Aurora
C_CND_000046,2022-01-03,Male,566000,Mercedes-B,C-Class,Manual,Pale White,12000,Hatchback,Greenville
C_CND_000047,2022-01-03,Male,1250000,Bmw,323I,Manual,Pale White,21001,Hatchback,Pasco
C_CND_000048,2022-01-03,Male,730000,Acura,Tl,Auto,Pale White,29000,Hatchback,Scottsdale
C_CND_000049,2022-01-03,Male,4060000,Nissan,Altima,Auto,Pale White,20000,Hatchback,Austin
C_CND_000050,2022-01-03,Male,13500,Cadillac,Deville,Auto,Pale White,22000,Suv,Middletown
C_CND_000051,2022-01-03,Male,1180000,Dodge,Stratus,Auto,Pale White,31000,Hatchback,Aurora
C_CND_000052,2022-01-03,Male,1360000,Audi,A4,Auto,Black,27000,Hardtop,Austin
C_CND_000053,2022-01-03,Female,640000,Mercury,Cougar,Auto,Black,33000,Hatchback,Scottsdale
C_CND_000054,2022-01-03,Male,615000,Chevrolet,Malibu,Manual,Pale White,14000,Hardtop,Middletown
C_CND_000055,2022-01-03,Male,520000,Acura,Rl,Manual,Pale White,17000,Suv,Middletown
C_CND_000056,2022-01-04,Male,1876000,Saturn,Sw,Auto,Pale White,25600,Passenger,Janesville
C_CND_000057,2022-01-04,Male,13500,Volvo,C70,Manual,Black,17000,Hatchback,Scottsdale
C_CND_000058,2022-01-04,Male,13500,Mercury,Mountaineer,Manual,Pale White,21000,Suv,Austin
C_CND_000059,2022-01-04,Male,890000,Mercedes-B,C-Class,Manual,Pale White,12000,Hatchback,Middletown
C_CND_000060,2022-01-04,Male,1800000,Mercedes-B,Slk,Manual,Pale White,17000,Passenger,Aurora
C_CND_000061,2022-01-04,Male,1330000,Toyota,Tacoma,Manual,Black,36000,Hardtop,Janesville
C_CND_000062,2022-01-04,Male,393000,Mercedes-B,C-Class,Manual,Pale White,17000,Hatchback,Janesville
C_CND_000063,2022-01-04,Male,440000,Mercedes-B,M-Class,Manual,Pale White,41000,Hatchback,Austin
C_CND_000064,2022-01-04,Female,280000,Audi,A6,Auto,Black,14000,Suv,Middletown
C_CND_000065,2022-01-04,Male,1151000,Dodge,Intrepid,Auto,Pale White,31100,Sedan,Greenville
C_CND_000066,2022-01-04,Male,1650000,Buick,Park Avenue,Auto,Black,61000,Hatchback,Pasco
C_CND_000067,2022-01-04,Male,13500,Dodge,Viper,Manual,Black,26000,Suv,Janesville
C_CND_000068,2022-01-04,Male,895000,Toyota,Sienna,Manual,Black,12000,Passenger,Aurora
C_CND_000069,2022-01-04,Female,660000,Volvo,S40,Auto,Pale White,42000,Sedan,Greenville
C_CND_000070,2022-01-04,Male,13500,Mitsubishi,Diamante,Auto,Pale White,21000,Hatchback,Pasco
C_CND_000071,2022-01-05,Male,1636000,Cadillac,Deville,Auto,Pale White,22600,Suv,Middletown
C_CND_000072,2022-01-05,Female,1000000,Jaguar,S-Type,Manual,Pale White,45000,Passenger,Aurora
C_CND_000073,2022-01-05,Female,745000,Mitsubishi,Eclipse,Manual,Black,25000,Suv,Greenville
C_CND_000074,2022-01-05,Male,300000,Ford,Contour,Auto,Pale White,62000,Sedan,Pasco
C_CND_000075,2022-01-05,Male,1097000,Volkswagen,Jetta,Auto,Black,22700,Passenger,Janesville
C_CND_000076,2022-01-05,Female,542000,Mitsubishi,Montero Sport,Auto,Black,45000,Suv,Scottsdale
C_CND_000077,2022-01-05,Male,1200000,Lincoln,Town Car,Manual,Black,17000,Hatchback,Pasco
C_CND_000078,2022-01-05,Male,490000,Ford,Focus,Manual,Black,49000,Hardtop,Austin
C_CND_000079,2022-01-05,Male,410000,Audi,A6,Manual,Black,15000,Suv,Scottsdale
C_CND_000080,2022-01-05,Male,930000,Acura,Tl,Auto,Black,28000,Hatchback,Austin
C_CND_000081,2022-01-05,Male,480000,Nissan,Pathfinder,Auto,Pale White,46000,Hardtop,Greenville
C_CND_000082,2022-01-05,Female,1360000,Ford,Mustang,Manual,Pale White,43000,Hatchback,Aurora
C_CND_000083,2022-01-05,Male,2200000,Oldsmobile,Cutlass,Auto,Pale White,41000,Sedan,Aurora
C_CND_000084,2022-01-05,Female,1100000,Chevrolet,Corvette,Auto,Pale White,45000,Suv,Greenville
C_CND_000085,2022-01-05,Male,13500,Chevrolet,Impala,Manual,Pale White,22001,Hatchback,Pasco
C_CND_000086,2022-01-05,Male,1700000,Volkswagen,Cabrio,Manual,Pale White,25001,Sedan,Janesville
C_CND_000087,2022-01-05,Male,1908000,Dodge,Dakota,Manual,Pale White,12800,Sedan,Scottsdale
C_CND_000088,2022-01-05,Male,13500,Chrysler,300M,Auto,Black,26000,Suv,Austin
C_CND_000089,2022-01-05,Male,13500,Bmw,328I,Auto,Black,18000,Sedan,Scottsdale
C_CND_000090,2022-01-05,Male,2550000,Oldsmobile,Bravada,Auto,Pale White,19000,Hatchback,Austin
C_CND_000091,2022-01-05,Male,1245000,Nissan,Maxima,Manual,Pale White,22500,Sedan,Middletown
C_CND_000092,2022-01-05,Male,13500,Dodge,Ram Pickup,Manual,Pale White,21001,Hardtop,Austin
C_CND_000093,2022-01-05,Male,1115000,Chrysler,Concorde,Auto,Pale White,46500,Hardtop,Aurora
C_CND_000094,2022-01-05,Male,13500,Chrysler,300M,Auto,Pale White,16000,Suv,Pasco
C_CND_000095,2022-01-05,Male,2110000,Volvo,V70,Auto,Black,39000,Passenger,Janesville
C_CND_000096,2022-01-05,Female,13500,Nissan,Quest,Manual,Black,19000,Suv,Scottsdale
C_CND_000097,2022-01-05,Male,1050000,Chrysler,Lhs,Auto,Black,26000,Hatchback,Austin
C_CND_000098,2022-01-05,Male,13500,Honda,Accord,Manual,Black,43000,Sedan,Janesville
C_CND_000099,2022-01-05,Female,13500,Nissan,Maxima,Manual,Pale White,54000,Sedan,Scottsdale
C_CND_000100,2022-01-05,Male,320000,Dodge,Durango,Auto,Pale White,22000,Suv,Austin
C_CND_000101,2022-01-06,Male,13500,Lexus,Es300,Auto,Black,16001,Suv,Austin
C_CND_000102,2022-01-06,Female,760000,Bmw,328I,Auto,Black,16001,Sedan,Middletown
C_CND_000103,2022-01-06,Male,1390000,Toyota,Land Cruiser,Auto,Pale White,12000,Suv,Greenville
C_CND_000104,2022-01-06,Male,659000,Mercedes-B,Sl-Class,Manual,Black,38000,Hardtop,Janesville
C_CND_000105,2022-01-06,Male,1330000,Ford,Explorer,Auto,Pale White,42000,Hatchback,Middletown
C_CND_000106,2022-01-06,Male,13500,Nissan,Pathfinder,Auto,Pale White,21000,Hatchback,Aurora
C_CND_000107,2022-01-06,Female,13500,Volvo,C70,Auto,Black,49000,Hatchback,Janesville
C_CND_000108,2022-01-06,Male,1362000,Chevrolet,Prizm,Manual,Pale White,21200,Hardtop,Pasco
C_CND_000109,2022-01-06,Male,480000,Mercury,Grand Marquis,Manual,Pale White,71000,Suv,Middletown
C_CND_000110,2022-01-06,Female,365000,Chevrolet,Camaro,Auto,Pale White,17000,Sedan,Aurora
C_CND_000111,2022-01-09,Female,481000,Subaru,Outback,Auto,Pale White,57001,Suv,Aurora
C_CND_000112,2022-01-09,Male,700000,Buick,Park Avenue,Auto,Pale White,62001,Hatchback,Greenville
C_CND_000113,2022-01-09,Male,1350000,Ford,Taurus,Manual,Black,69001,Suv,Pasco
C_CND_000114,2022-01-09,Male,750000,Chevrolet,Cavalier,Manual,Pale White,20001,Suv,Janesville
C_CND_000115,2022-01-09,Male,451000,Audi,A4,Auto,Black,27000,Hardtop,Austin
C_CND_000116,2022-01-09,Female,650000,Ford,Focus,Manual,Black,49000,Hardtop,Janesville
C_CND_000117,2022-01-09,Male,700000,Mitsubishi,Diamante,Manual,Black,49000,Hatchback,Austin
C_CND_000118,2022-01-09,Female,13500,Lexus,Gs400,Auto,Black,12000,Hatchback,Middletown
C_CND_000119,2022-01-09,Female,1220000,Mercedes-B,M-Class,Manual,Pale White,25000,Hatchback,Greenville
C_CND_000120,2022-01-09,Male,1300000,Chrysler,Concorde,Auto,Pale White,42000,Hatchback,Pasco
C_CND_000121,2022-01-09,Male,470000,Chrysler,Sebring Coupe,Auto,Pale White,19000,Sedan,Janesville
C_CND_000122,2022-01-09,Female,1167500,Chevrolet,Monte Carlo,Manual,Pale White,26750,Hatchback,Scottsdale
C_CND_000123,2022-01-09,Male,3000000,Cadillac,Eldorado,Auto,Pale White,31000,Passenger,Austin
C_CND_000124,2022-01-09,Male,1900000,Saturn,Lw,Manual,Pale White,49000,Hatchback,Middletown
C_CND_000125,2022-01-09,Female,1690000,Hyundai,Sonata,Manual,Black,15000,Suv,Aurora
C_CND_000126,2022-01-09,Male,2800000,Mercury,Sable,Auto,Pale White,26000,Sedan,Greenville
C_CND_000127,2022-01-09,Male,642000,Mercedes-B,Sl-Class,Manual,Pale White,17000,Hardtop,Greenville
C_CND_000128,2022-01-09,Female,705000,Volvo,C70,Manual,Pale White,24000,Hatchback,Pasco
C_CND_000129,2022-01-09,Male,670000,Chevrolet,Metro,Auto,Pale White,19000,Passenger,Janesville
C_CND_000130,2022-01-09,Male,13500,Jaguar,S-Type,Manual,Pale White,20000,Passenger,Scottsdale
C_CND_000131,2022-01-10,Female,1985000,Acura,Tl,Auto,Black,28501,Hatchback,Scottsdale
C_CND_000132,2022-01-10,Male,1275000,Bmw,323I,Auto,Pale White,15500,Hatchback,Aurora
C_CND_000133,2022-01-10,Male,13500,Plymouth,Voyager,Manual,Pale White,20000,Passenger,Austin
C_CND_000134,2022-01-10,Male,1650000,Nissan,Maxima,Manual,Pale White,29000,Sedan,Pasco
C_CND_000135,2022-01-10,Male,520500,Chrysler,Cirrus,Auto,Pale White,12500,Passenger,Austin
C_CND_000136,2022-01-12,Female,500000,Mercury,Grand Marquis,Manual,Pale White,16001,Suv,Austin
C_CND_000137,2022-01-12,Male,1172500,Lexus,Es300,Auto,Pale White,27250,Suv,Middletown
C_CND_000138,2022-01-12,Male,441000,Dodge,Intrepid,Manual,Black,11000,Sedan,Aurora
C_CND_000139,2022-01-12,Male,1310000,Nissan,Maxima,Manual,Pale White,22001,Sedan,Greenville
C_CND_000140,2022-01-12,Male,13500,Dodge,Avenger,Auto,Pale White,22000,Passenger,Pasco
C_CND_000141,2022-01-12,Male,1200000,Chevrolet,Corvette,Manual,Pale White,22000,Suv,Janesville
C_CND_000142,2022-01-12,Male,1680000,Acura,Rl,Manual,Black,18000,Suv,Greenville
C_CND_000143,2022-01-12,Male,1340000,Honda,Odyssey,Manual,Pale White,27000,Passenger,Pasco
C_CND_000144,2022-01-12,Female,901000,Oldsmobile,Intrigue,Manual,Pale White,25000,Suv,Janesville
C_CND_000145,2022-01-12,Female,849500,Acura,Rl,Manual,Pale White,26500,Suv,Scottsdale
C_CND_000146,2022-01-12,Male,13500,Ford,Taurus,Manual,Black,69000,Suv,Austin
C_CND_000147,2022-01-12,Female,1071500,Oldsmobile,Silhouette,Manual,Pale White,14150,Sedan,Middletown
C_CND_000148,2022-01-12,Male,1740000,Saab,5-Sep,Manual,Pale White,28000,Hatchback,Janesville
C_CND_000149,2022-01-12,Male,13500,Honda,Civic,Manual,Black,43000,Hatchback,Scottsdale
C_CND_000150,2022-01-12,Male,1700000,Bmw,528I,Manual,Pale White,25000,Suv,Austin
C_CND_000151,2022-01-12,Male,1100000,Oldsmobile,Silhouette,Auto,Pale White,12000,Sedan,Middletown
C_CND_000152,2022-01-12,Male,13500,Lexus,Ls400,Auto,Black,39000,Sedan,Aurora
C_CND_000153,2022-01-12,Male,2155000,Cadillac,Eldorado,Auto,Black,60500,Passenger,Greenville
C_CND_000154,2022-01-12,Male,13500,Volkswagen,Jetta,Auto,Pale White,16000,Passenger,Janesville
C_CND_000155,2022-01-12,Male,13500,Pontiac,Bonneville,Auto,Pale White,19000,Hatchback,Scottsdale
C_CND_000156,2022-01-12,Male,661000,Chevrolet,Monte Carlo,Manual,Black,44000,Hatchback,Austin
C_CND_000157,2022-01-12,Female,13500,Oldsmobile,Aurora,Manual,Pale White,71000,Passenger,Middletown
C_CND_000158,2022-01-12,Male,13500,Ford,Mustang,Manual,Pale White,25000,Hatchback,Aurora
C_CND_000159,2022-01-12,Male,2750000,Mitsubishi,Diamante,Auto,Black,18000,Hatchback,Greenville
C_CND_000160,2022-01-12,Male,13500,Ford,Expedition,Manual,Pale White,22000,Suv,Middletown
C_CND_000161,2022-01-12,Male,13500,Mercedes-B,M-Class,Manual,Pale White,41000,Hardtop,Middletown
C_CND_000162,2022-01-12,Female,13500,Ford,Focus,Manual,Black,49000,Hardtop,Greenville
C_CND_000163,2022-01-12,Male,950000,Volkswagen,Jetta,Auto,Pale White,19000,Passenger,Pasco
C_CND_000164,2022-01-12,Female,715000,Bmw,528I,Manual,Black,21000,Suv,Janesville
C_CND_000165,2022-01-12,Female,13500,Subaru,Forester,Auto,Black,22000,Hardtop,Scottsdale
C_CND_000166,2022-01-13,Female,847000,Plymouth,Breeze,Manual,Pale White,16000,Suv,Scottsdale
C_CND_000167,2022-01-13,Female,13500,Volkswagen,Beetle,Auto,Pale White,45000,Suv,Austin
C_CND_000168,2022-01-13,Male,1176500,Dodge,Intrepid,Manual,Black,11650,Sedan,Middletown
C_CND_000169,2022-01-13,Male,955000,Hyundai,Elantra,Manual,Pale White,26000,Sedan,Aurora
C_CND_000170,2022-01-13,Male,800000,Saturn,Sw,Manual,Black,36000,Passenger,Aurora
C_CND_000171,2022-01-13,Male,13500,Lincoln,Continental,Manual,Pale White,82000,Passenger,Greenville
C_CND_000172,2022-01-13,Female,13500,Chevrolet,Camaro,Auto,Pale White,24000,Sedan,Pasco
C_CND_000173,2022-01-13,Male,626800,Nissan,Pathfinder,Manual,Pale White,11800,Hardtop,Austin
C_CND_000174,2022-01-13,Male,2115000,Toyota,Rav4,Auto,Pale White,27500,Hatchback,Pasco
C_CND_000175,2022-01-13,Male,2810000,Mercury,Villager,Auto,Pale White,36000,Passenger,Janesville
C_CND_000176,2022-01-13,Male,13500,Jaguar,S-Type,Manual,Pale White,20000,Passenger,Scottsdale
C_CND_000177,2022-01-13,Male,13500,Mercedes-B,Slk,Manual,Pale White,17000,Passenger,Austin
C_CND_000178,2022-01-13,Male,1589000,Volkswagen,Jetta,Auto,Pale White,16900,Passenger,Pasco
C_CND_000179,2022-01-13,Male,1385000,Buick,Regal,Auto,Pale White,46500,Passenger,Janesville
C_CND_000180,2022-01-13,Male,2000000,Mercedes-B,C-Class,Auto,Black,14000,Hatchback,Scottsdale
C_CND_000181,2022-01-13,Male,951000,Toyota,Sienna,Manual,Black,16000,Passenger,Austin
C_CND_000182,2022-01-13,Male,1390000,Volvo,S70,Manual,Black,22000,Hardtop,Austin
C_CND_000183,2022-01-13,Male,2320000,Nissan,Altima,Auto,Pale White,20000,Hatchback,Middletown
C_CND_000184,2022-01-13,Female,2752000,Toyota,Celica,Manual,Pale White,14200,Suv,Aurora
C_CND_000185,2022-01-13,Male,655000,Saturn,Ls,Auto,Pale White,51000,Sedan,Greenville
C_CND_000186,2022-01-17,Male,890000,Mitsubishi,Diamante,Manual,Pale White,19000,Hatchback,Greenville
C_CND_000187,2022-01-17,Male,1330000,Lexus,Gs400,Auto,Pale White,31000,Hatchback,Pasco
C_CND_000188,2022-01-17,Male,13500,Porsche,Carrera Cabrio,Auto,Pale White,32000,Passenger,Janesville
C_CND_000189,2022-01-17,Male,900000,Dodge,Ram Van,Auto,Pale White,31000,Hatchback,Scottsdale
C_CND_000190,2022-01-17,Male,570000,Oldsmobile,Silhouette,Manual,Pale White,14000,Sedan,Scottsdale
C_CND_000191,2022-01-17,Male,715000,Audi,A6,Manual,Black,25000,Suv,Austin
C_CND_000192,2022-01-17,Female,630000,Oldsmobile,Cutlass,Auto,Pale White,46000,Sedan,Janesville
C_CND_000193,2022-01-17,Female,700500,Mercedes-B,S-Class,Auto,Black,39500,Suv,Scottsdale
C_CND_000194,2022-01-17,Male,2130000,Mitsubishi,3000Gt,Auto,Black,39000,Sedan,Middletown
C_CND_000195,2022-01-17,Male,13500,Bmw,528I,Auto,Black,31000,Suv,Aurora
C_CND_000196,2022-01-17,Male,2950000,Chevrolet,Malibu,Manual,Pale White,41000,Hatchback,Greenville
C_CND_000197,2022-01-17,Male,2150000,Chrysler,300M,Auto,Pale White,22000,Suv,Pasco
C_CND_000198,2022-01-17,Female,1700000,Ford,Mustang,Manual,Black,22000,Hatchback,Middletown
C_CND_000199,2022-01-17,Male,13500,Dodge,Viper,Auto,Pale White,41000,Suv,Aurora
C_CND_000200,2022-01-17,Male,1540000,Jaguar,S-Type,Manual,Pale White,21000,Passenger,Greenville
C_CND_000201,2022-01-17,Male,1300000,Mercedes-B,Slk,Manual,Black,26000,Passenger,Pasco
C_CND_000202,2022-01-17,Male,960000,Mercedes-B,E-Class,Auto,Pale White,31000,Sedan,Pasco
C_CND_000203,2022-01-17,Male,13500,Pontiac,Grand Am,Auto,Pale White,19000,Suv,Janesville
C_CND_000204,2022-01-17,Male,1810000,Saturn,Lw,Manual,Pale White,13000,Hatchback,Scottsdale
C_CND_000205,2022-01-17,Male,1130000,Saturn,Sc,Auto,Black,33000,Hardtop,Middletown
C_CND_000206,2022-01-19,Male,1090000,Mercury,Sable,Manual,Pale White,61000,Sedan,Austin
C_CND_000207,2022-01-19,Male,500000,Toyota,Land Cruiser,Auto,Black,21000,Suv,Middletown
C_CND_000208,2022-01-19,Female,1700000,Nissan,Maxima,Manual,Pale White,16000,Sedan,Austin
C_CND_000209,2022-01-19,Male,860000,Oldsmobile,Bravada,Auto,Pale White,15000,Hatchback,Middletown
C_CND_000210,2022-01-19,Male,13500,Volkswagen,Passat,Manual,Pale White,27000,Hatchback,Janesville
C_CND_000211,2022-01-19,Male,2035000,Volkswagen,Passat,Auto,Pale White,13500,Hatchback,Scottsdale
C_CND_000212,2022-01-19,Male,1372500,Nissan,Xterra,Auto,Black,9250,Passenger,Janesville
C_CND_000213,2022-01-19,Male,1800000,Ford,Mustang,Auto,Pale White,31000,Hatchback,Scottsdale
C_CND_000214,2022-01-19,Male,1250000,Volkswagen,Passat,Auto,Pale White,32000,Hatchback,Middletown
C_CND_000215,2022-01-19,Male,1175000,Volvo,S40,Auto,Pale White,29500,Sedan,Aurora
C_CND_000216,2022-01-21,Male,1100000,Mercury,Villager,Manual,Pale White,14000,Passenger,Aurora
C_CND_000217,2022-01-21,Male,1315000,Nissan,Frontier,Auto,Pale White,18501,Hatchback,Greenville
C_CND_000218,2022-01-21,Female,480000,Acura,Rl,Manual,Pale White,17001,Suv,Pasco
C_CND_000219,2022-01-21,Female,423500,Mitsubishi,Montero Sport,Manual,Pale White,12500,Suv,Janesville
C_CND_000220,2022-01-21,Female,13500,Bmw,528I,Manual,Black,21000,Suv,Scottsdale
C_CND_000221,2022-01-21,Male,13500,Bmw,528I,Auto,Pale White,62000,Suv,Aurora
C_CND_000222,2022-01-21,Male,653000,Ford,Crown Victoria,Auto,Black,11000,Passenger,Greenville
C_CND_000223,2022-01-21,Male,13500,Nissan,Frontier,Manual,Pale White,20000,Hatchback,Pasco
C_CND_000224,2022-01-21,Male,2862000,Honda,Accord,Auto,Pale White,21200,Sedan,Janesville
C_CND_000225,2022-01-21,Male,2180000,Toyota,Camry,Manual,Black,29000,Hatchback,Scottsdale
C_CND_000226,2022-01-21,Male,13500,Cadillac,Eldorado,Auto,Pale White,17000,Passenger,Austin
C_CND_000227,2022-01-21,Male,1500000,Lexus,Es300,Auto,Pale White,27000,Hatchback,Middletown
C_CND_000228,2022-01-21,Male,1190000,Volvo,S40,Manual,Black,36000,Sedan,Aurora
C_CND_000229,2022-01-21,Female,920000,Lincoln,Navigator,Auto,Black,19000,Sedan,Greenville
C_CND_000230,2022-01-21,Male,320000,Nissan,Frontier,Auto,Pale White,18000,Hatchback,Pasco
C_CND_000231,2022-01-21,Male,690000,Chevrolet,Prizm,Auto,Pale White,15000,Hardtop,Janesville
C_CND_000232,2022-01-21,Male,13500,Toyota,Tacoma,Manual,Pale White,24000,Hardtop,Middletown
C_CND_000233,2022-01-21,Male,905000,Nissan,Sentra,Auto,Black,16000,Passenger,Scottsdale
C_CND_000234,2022-01-21,Male,13500,Ford,Crown Victoria,Auto,Pale White,29000,Passenger,Austin
C_CND_000235,2022-01-21,Female,1180000,Pontiac,Bonneville,Auto,Pale White,19000,Hatchback,Middletown
C_CND_000236,2022-01-21,Male,800000,Mercedes-B,Cl500,Manual,Black,22000,Suv,Greenville
C_CND_000237,2022-01-21,Male,1225000,Dodge,Viper,Auto,Pale White,23500,Suv,Pasco
C_CND_000238,2022-01-21,Female,1200000,Mitsubishi,Galant,Auto,Pale White,36000,Passenger,Janesville
C_CND_000239,2022-01-21,Male,13500,Pontiac,Bonneville,Auto,Pale White,19000,Hatchback,Scottsdale
C_CND_000240,2022-01-21,Male,1350000,Toyota,Tacoma,Auto,Pale White,53000,Hardtop,Pasco
C_CND_000241,2022-01-23,Male,426000,Cadillac,Escalade,Auto,Black,28000,Sedan,Austin
C_CND_000242,2022-01-23,Male,1447500,Oldsmobile,Silhouette,Auto,Black,60750,Sedan,Middletown
C_CND_000243,2022-01-23,Male,770000,Chevrolet,Prizm,Auto,Pale White,42000,Hardtop,Janesville
C_CND_000244,2022-01-23,Male,1610000,Cadillac,Eldorado,Manual,Pale White,31000,Passenger,Middletown
C_CND_000245,2022-01-23,Female,1540000,Ford,Contour,Auto,Pale White,62000,Sedan,Janesville
C_CND_000246,2022-01-23,Male,1285000,Mercedes-B,S-Class,Auto,Black,39500,Suv,Scottsdale
C_CND_000247,2022-01-23,Male,1400000,Toyota,Tacoma,Manual,Pale White,24001,Hardtop,Aurora
C_CND_000248,2022-01-23,Male,1200000,Mercedes-B,C-Class,Auto,Pale White,15000,Hatchback,Greenville
C_CND_000249,2022-01-23,Male,1720000,Nissan,Quest,Manual,Black,19000,Suv,Middletown
C_CND_000250,2022-01-23,Female,600000,Volkswagen,Golf,Auto,Pale White,35000,Hardtop,Austin
C_CND_000251,2022-01-24,Male,457000,Hyundai,Sonata,Manual,Pale White,21000,Suv,Aurora
C_CND_000252,2022-01-24,Male,2450000,Nissan,Altima,Auto,Pale White,20000,Hatchback,Aurora
C_CND_000253,2022-01-24,Male,1975000,Ford,Ranger,Manual,Black,18500,Hatchback,Austin
C_CND_000254,2022-01-24,Female,860000,Chevrolet,Corvette,Auto,Pale White,45000,Suv,Pasco
C_CND_000255,2022-01-24,Male,944000,Oldsmobile,Silhouette,Auto,Pale White,12000,Sedan,Greenville
C_CND_000256,2022-01-26,Male,1135000,Chevrolet,Prizm,Manual,Pale White,21500,Suv,Greenville
C_CND_000257,2022-01-26,Female,2210000,Volvo,S40,Manual,Pale White,17000,Sedan,Greenville
C_CND_000258,2022-01-26,Male,316000,Chevrolet,Corvette,Auto,Pale White,46000,Suv,Middletown
